,symbol,sector,industry
283,MAS,Industrials,Building Products & Equipment
284,MAT,Consumer Cyclical,Leisure
285,MCD,Consumer Cyclical,Restaurants
286,MCHP,Technology,Semiconductors
287,MCK,Healthcare,Medical Distribution
288,MCO,Financial Services,Financial Data & Stock Exchanges
289,MDLZ,Consumer Defensive,Confectioners
290,MDT,Healthcare,Medical Devices
291,MET,Financial Services,Insurance—Life
292,MGM,Consumer Cyclical,Resorts & Casinos
293,MHK,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
294,MLM,Basic Materials,Building Materials
295,MMC,Financial Services,Insurance Brokers
296,MMM,Industrials,Specialty Industrial Machinery
297,MNST,Consumer Defensive,Beverages—Non-Alcoholic
298,MO,Consumer Defensive,Tobacco
299,MOS,Basic Materials,Agricultural Inputs
300,MPC,Energy,Oil & Gas Refining & Marketing
301,MRK,Healthcare,Drug Manufacturers—General
302,MRO,Energy,Oil & Gas E&P
303,MS,Financial Services,Capital Markets
304,MSCI,Financial Services,Financial Data & Stock Exchanges
305,MSFT,Technology,Software—Infrastructure
306,MSI,Technology,Communication Equipment
307,MTB,Financial Services,Banks—Regional
308,MTD,Healthcare,Diagnostics & Research
309,MU,Technology,Semiconductors
310,NCLH,Consumer Cyclical,Travel Services
311,NDAQ,Financial Services,Financial Data & Stock Exchanges
312,NEE,Utilities,Utilities—Regulated Electric
313,NEM,Basic Materials,Gold
314,NFLX,Communication Services,Entertainment
315,NI,Utilities,Utilities—Regulated Gas
316,NKE,Consumer Cyclical,Footwear & Accessories
317,NKTR,Healthcare,Biotechnology
318,NLOK,Technology,Software—Infrastructure
319,NLSN,Industrials,Consulting Services
320,NOC,Industrials,Aerospace & Defense
321,NOV,Energy,Oil & Gas Equipment & Services
322,NRG,Utilities,Utilities—Independent Power Producers
323,NSC,Industrials,Railroads
324,NTAP,Technology,Computer Hardware
325,NTRS,Financial Services,Asset Management
326,NUE,Basic Materials,Steel
327,NVDA,Technology,Semiconductors
328,NWL,Consumer Defensive,Household & Personal Products
329,NWS,Communication Services,Broadcasting
330,NWSA,Communication Services,Broadcasting
331,O,Real Estate,REIT—Retail
332,OKE,Energy,Oil & Gas Midstream
333,OMC,Communication Services,Advertising Agencies
334,ORCL,Technology,Software—Infrastructure
335,ORLY,Consumer Cyclical,Specialty Retail
336,OXY,Energy,Oil & Gas E&P
337,PAYX,Industrials,Staffing & Employment Services
338,PBCT,Financial Services,Banks—Regional
339,PCAR,Industrials,Farm & Heavy Construction Machinery
340,PCG,Utilities,Utilities—Regulated Electric
341,PEAK,Real Estate,REIT—Healthcare Facilities
342,PEG,Utilities,Utilities—Diversified
343,PEP,Consumer Defensive,Beverages—Non-Alcoholic
344,PFE,Healthcare,Drug Manufacturers—General
345,PFG,Financial Services,Insurance—Diversified
346,PG,Consumer Defensive,Household & Personal Products
347,PGR,Financial Services,Insurance—Property & Casualty
348,PH,Industrials,Specialty Industrial Machinery
349,PHM,Consumer Cyclical,Residential Construction
350,PKG,Consumer Cyclical,Packaging & Containers
351,PKI,Healthcare,Diagnostics & Research
352,PLD,Real Estate,REIT—Industrial
353,PM,Consumer Defensive,Tobacco
354,PNC,Financial Services,Banks—Regional
355,PNR,Industrials,Specialty Industrial Machinery
356,PNW,Utilities,Utilities—Regulated Electric
357,PPG,Basic Materials,Specialty Chemicals
358,PPL,Utilities,Utilities—Regulated Electric
359,PRGO,Healthcare,Drug Manufacturers—Specialty & Generic
360,PRU,Financial Services,Insurance—Life
361,PSA,Real Estate,REIT—Industrial
362,PSX,Energy,Oil & Gas Refining & Marketing
363,PVH,Consumer Cyclical,Apparel Manufacturing
364,PWR,Industrials,Engineering & Construction
365,PXD,Energy,Oil & Gas E&P
366,PYPL,Financial Services,Credit Services
367,QCOM,Technology,Semiconductors
368,QRVO,Technology,Semiconductors
369,RCL,Consumer Cyclical,Travel Services
370,RE,Financial Services,Insurance—Reinsurance
371,REG,Real Estate,REIT—Retail
372,REGN,Healthcare,Biotechnology
373,RF,Financial Services,Banks—Regional
374,RHI,Industrials,Staffing & Employment Services
375,RJF,Financial Services,Capital Markets
376,RL,Consumer Cyclical,Apparel Manufacturing
377,RMD,Healthcare,Medical Instruments & Supplies
378,ROK,Industrials,Specialty Industrial Machinery
379,ROL,Consumer Cyclical,Personal Services
380,ROP,Industrials,Specialty Industrial Machinery
381,ROST,Consumer Cyclical,Apparel Retail
382,RSG,Industrials,Waste Management
383,SBAC,Real Estate,REIT—Specialty
384,SBUX,Consumer Cyclical,Restaurants
385,SCHW,Financial Services,Capital Markets
386,SEE,Consumer Cyclical,Packaging & Containers
387,SHW,Basic Materials,Specialty Chemicals
388,SIVB,Financial Services,Banks—Regional
389,SJM,Consumer Defensive,Packaged Foods
390,SLB,Energy,Oil & Gas Equipment & Services
391,SLG,Real Estate,REIT—Office
392,SNA,Industrials,Tools & Accessories
393,SNPS,Technology,Software—Infrastructure
394,SO,Utilities,Utilities—Regulated Electric
395,SPG,Real Estate,REIT—Retail
396,SPGI,Financial Services,Financial Data & Stock Exchanges
397,SRCL,Industrials,Waste Management
398,SRE,Utilities,Utilities—Diversified
399,STT,Financial Services,Asset Management
400,STX,Technology,Computer Hardware
401,STZ,Consumer Defensive,Beverages—Wineries & Distilleries
402,SWK,Industrials,Tools & Accessories
403,SWKS,Technology,Semiconductors
404,SYF,Financial Services,Credit Services
405,SYK,Healthcare,Medical Devices
406,SYY,Consumer Defensive,Food Distribution
407,T,Communication Services,Telecom Services
408,TAP,Consumer Defensive,Beverages—Brewers
409,TDG,Industrials,Aerospace & Defense
410,TEL,Technology,Electronic Components
411,TGT,Consumer Defensive,Discount Stores
412,TJX,Consumer Cyclical,Apparel Retail
413,TMO,Healthcare,Diagnostics & Research
414,TPR,Consumer Cyclical,Luxury Goods
415,TRIP,Consumer Cyclical,Travel Services
416,TROW,Financial Services,Asset Management
417,TRV,Financial Services,Insurance—Property & Casualty
418,TSCO,Consumer Cyclical,Specialty Retail
419,TSN,Consumer Defensive,Farm Products
420,TTWO,Communication Services,Electronic Gaming & Multimedia
421,TWTR,Communication Services,Internet Content & Information
422,TXN,Technology,Semiconductors
423,TXT,Industrials,Aerospace & Defense
424,UA,Consumer Cyclical,Apparel Manufacturing
425,UAA,Consumer Cyclical,Apparel Manufacturing
426,UAL,Industrials,Airlines
427,UDR,Real Estate,REIT—Residential
428,UHS,Healthcare,Medical Care Facilities
429,ULTA,Consumer Cyclical,Specialty Retail
430,UNH,Healthcare,Healthcare Plans
431,UNM,Financial Services,Insurance—Life
432,UNP,Industrials,Railroads
433,UPS,Industrials,Integrated Freight & Logistics
434,URI,Industrials,Rental & Leasing Services
435,USB,Financial Services,Banks—Regional
437,V,Financial Services,Credit Services
438,VFC,Consumer Cyclical,Apparel Manufacturing
439,VIAC,Communication Services,Entertainment
440,VIST,Energy,Oil & Gas E&P
441,VLO,Energy,Oil & Gas Refining & Marketing
442,VMC,Basic Materials,Building Materials
443,VNO,Real Estate,REIT—Office
444,VRSK,Industrials,Consulting Services
445,VRSN,Technology,Software—Infrastructure
446,VRTX,Healthcare,Biotechnology
447,VTR,Real Estate,REIT—Healthcare Facilities
448,VZ,Communication Services,Telecom Services
449,WAT,Healthcare,Diagnostics & Research
450,WBA,Healthcare,Pharmaceutical Retailers
451,WDC,Technology,Computer Hardware
452,WEC,Utilities,Utilities—Regulated Electric
453,WELL,Real Estate,REIT—Healthcare Facilities
454,WFC,Financial Services,Banks—Diversified
455,WHR,Consumer Cyclical,"Furnishings, Fixtures & Appliances"
456,WLTW,Financial Services,Insurance Brokers
457,WM,Industrials,Waste Management
458,WMB,Energy,Oil & Gas Midstream
459,WMT,Consumer Defensive,Discount Stores
460,WRK,Consumer Cyclical,Packaging & Containers
461,WU,Financial Services,Credit Services
462,WY,Real Estate,REIT—Specialty
463,WYNN,Consumer Cyclical,Resorts & Casinos
464,XEC,Energy,Oil & Gas E&P
465,XEL,Utilities,Utilities—Regulated Electric
466,XLNX,Technology,Semiconductors
467,XOM,Energy,Oil & Gas Integrated
468,XRAY,Healthcare,Medical Instruments & Supplies
469,XRX,Technology,Information Technology Services
470,XYL,Industrials,Specialty Industrial Machinery
471,YUM,Consumer Cyclical,Restaurants
472,ZION,Financial Services,Banks—Regional
473,ZTS,Healthcare,Drug Manufacturers—Specialty & Generic
